,Date/Time,Lat,Lon,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,db_clusters
71236,2014-04-08 04:10:00,40.7341,-73.9899,0,1,0,0,0,0
57471,2014-04-05 11:13:00,40.6181,-74.0022,0,1,0,0,0,0
418935,2014-04-12 17:29:00,40.7612,-73.9712,0,0,0,1,0,0
418537,2014-04-12 16:44:00,40.7651,-73.9711,0,0,0,1,0,0
287201,2014-04-20 12:51:00,40.713,-73.9664,0,0,1,0,0,0
534654,2014-04-29 09:42:00,40.7686,-73.9871,0,0,0,1,0,0
55312,2014-04-04 21:32:00,40.7482,-73.9847,0,1,0,0,0,0
42790,2014-04-02 19:18:00,40.7047,-73.9108,0,1,0,0,0,0
84122,2014-04-10 17:08:00,40.7634,-73.9771,0,1,0,0,0,0
64033,2014-04-06 14:21:00,40.7342,-73.9948,0,1,0,0,0,0
92796,2014-04-11 23:23:00,40.7246,-73.9939,0,1,0,0,0,0
134155,2014-04-19 16:12:00,40.7225,-73.9977,0,1,0,0,0,0
504085,2014-04-25 07:45:00,40.7252,-73.9921,0,0,0,1,0,0
459519,2014-04-18 14:08:00,40.7159,-74.0153,0,0,0,1,0,0
5481,2014-04-04 22:16:00,40.7636,-73.9762,1,0,0,0,0,0
278533,2014-04-17 16:48:00,40.7565,-73.9829,0,0,1,0,0,0
76677,2014-04-09 07:50:00,40.7812,-73.9798,0,1,0,0,0,0
284337,2014-04-19 10:34:00,40.6879,-73.9689,0,0,1,0,0,0
196433,2014-04-28 21:42:00,40.7372,-73.9886,0,1,0,0,0,0
92123,2014-04-11 21:58:00,40.6907,-73.9956,0,1,0,0,0,0
269446,2014-04-15 08:48:00,40.7499,-73.9781,0,0,1,0,0,0
341922,2014-04-03 08:08:00,40.7625,-73.9653,0,0,0,1,0,0
210067,2014-04-30 13:57:00,40.718,-74.0146,0,1,0,0,0,0
359575,2014-04-04 21:27:00,40.7774,-73.9828,0,0,0,1,0,0
526434,2014-04-27 20:15:00,40.7289,-73.9921,0,0,0,1,0,0
310745,2014-04-27 00:15:00,40.7405,-74.0046,0,0,1,0,0,0
242554,2014-04-07 08:35:00,40.7712,-73.8663,0,0,1,0,0,0
69277,2014-04-07 18:14:00,40.7455,-73.9866,0,1,0,0,0,0
220963,2014-04-01 17:37:00,40.7556,-73.9643,0,0,1,0,0,0
444504,2014-04-16 15:08:00,40.7553,-73.9836,0,0,0,1,0,0
475327,2014-04-21 07:28:00,40.7325,-73.9936,0,0,0,1,0,0
437655,2014-04-15 17:44:00,40.7506,-73.9788,0,0,0,1,0,0
491330,2014-04-23 18:12:00,40.752,-73.9871,0,0,0,1,0,0
440518,2014-04-15 21:43:00,40.6453,-73.7821,0,0,0,1,0,1
163639,2014-04-24 18:42:00,40.7733,-73.947,0,1,0,0,0,0
329571,2014-04-01 14:39:00,40.7607,-73.975,0,0,0,1,0,0
219744,2014-04-01 10:13:00,40.7686,-73.8625,0,0,1,0,0,0
164950,2014-04-24 20:45:00,40.7251,-74.0015,0,1,0,0,0,0
156676,2014-04-23 19:49:00,40.7615,-73.97,0,1,0,0,0,0
309903,2014-04-26 21:31:00,40.7375,-74.0057,0,0,1,0,0,0
88663,2014-04-11 13:09:00,40.744,-73.9896,0,1,0,0,0,0
144824,2014-04-21 21:59:00,40.6914,-73.9959,0,1,0,0,0,0
263238,2014-04-12 21:07:00,40.6846,-73.992,0,0,1,0,0,0
69955,2014-04-07 19:25:00,40.6436,-73.7899,0,1,0,0,0,1
438497,2014-04-15 18:54:00,40.7552,-73.9866,0,0,0,1,0,0
223137,2014-04-02 11:06:00,40.7389,-73.9898,0,0,1,0,0,0
249264,2014-04-09 03:10:00,40.7431,-74.0065,0,0,1,0,0,0
306769,2014-04-26 01:46:00,40.7381,-74.0086,0,0,1,0,0,0
124176,2014-04-17 20:41:00,40.6693,-73.9778,0,1,0,0,0,0
106479,2014-04-14 22:42:00,40.7601,-73.9749,0,1,0,0,0,0
404251,2014-04-10 18:59:00,40.7456,-73.9908,0,0,0,1,0,0
18802,2014-04-16 17:56:00,40.7236,-74.0109,1,0,0,0,0,0
184713,2014-04-26 22:51:00,40.7285,-73.9998,0,1,0,0,0,0
338605,2014-04-02 18:43:00,40.71,-74.0073,0,0,0,1,0,0
418016,2014-04-12 15:43:00,40.7684,-73.9962,0,0,0,1,0,0
16429,2014-04-14 17:24:00,40.7143,-73.9879,1,0,0,0,0,0
59456,2014-04-05 18:29:00,40.7691,-73.9828,0,1,0,0,0,0
373900,2014-04-06 15:58:00,40.6458,-73.7768,0,0,0,1,0,1
139581,2014-04-20 18:44:00,40.7242,-73.9907,0,1,0,0,0,0
560214,2014-04-18 11:18:00,40.7397,-73.9929,0,0,0,0,1,0
368975,2014-04-05 22:30:00,40.783,-73.9758,0,0,0,1,0,0
87689,2014-04-11 08:07:00,40.7266,-73.9831,0,1,0,0,0,0
388534,2014-04-08 16:45:00,40.7557,-73.9842,0,0,0,1,0,0
551975,2014-04-30 20:19:00,40.7646,-73.9757,0,0,0,1,0,0
195586,2014-04-28 19:08:00,40.7676,-73.9811,0,1,0,0,0,0
240193,2014-04-06 11:24:00,40.7666,-73.9826,0,0,1,0,0,0
346860,2014-04-03 19:26:00,40.711,-73.9432,0,0,0,1,0,0
350530,2014-04-04 06:35:00,40.7375,-74.0083,0,0,0,1,0,0
548697,2014-04-30 17:11:00,40.7749,-73.9609,0,0,0,1,0,0
20819,2014-04-18 12:51:00,40.7215,-73.9951,1,0,0,0,0,0
239136,2014-04-06 00:05:00,40.7189,-73.9904,0,0,1,0,0,0
175437,2014-04-25 23:15:00,40.699,-73.996,0,1,0,0,0,0
176218,2014-04-26 00:27:00,40.7674,-73.9645,0,1,0,0,0,0
21271,2014-04-18 20:32:00,40.7157,-74.0112,1,0,0,0,0,0
199841,2014-04-29 14:28:00,40.7513,-73.9783,0,1,0,0,0,0
264668,2014-04-13 09:40:00,40.6697,-73.9622,0,0,1,0,0,0
11344,2014-04-09 23:27:00,40.7343,-74.0099,1,0,0,0,0,0
146904,2014-04-22 12:37:00,40.7455,-73.9716,0,1,0,0,0,0
323100,2014-04-30 15:31:00,40.7594,-73.989,0,0,1,0,0,0
18779,2014-04-16 17:39:00,40.7376,-74.0071,1,0,0,0,0,0
172617,2014-04-25 19:15:00,40.751,-73.9409,0,1,0,0,0,0
158259,2014-04-23 23:13:00,40.7199,-73.9953,0,1,0,0,0,0
446903,2014-04-16 19:40:00,40.8294,-73.9285,0,0,0,1,0,0
18342,2014-04-16 10:36:00,40.7523,-73.9798,1,0,0,0,0,0
242793,2014-04-07 10:21:00,40.719,-73.9956,0,0,1,0,0,0
46554,2014-04-03 17:05:00,40.7566,-73.9974,0,1,0,0,0,0
524695,2014-04-27 14:41:00,40.645,-73.7819,0,0,0,1,0,1
379224,2014-04-07 15:14:00,40.764,-73.9769,0,0,0,1,0,0
104813,2014-04-14 15:40:00,40.642,-73.7878,0,1,0,0,0,1
332627,2014-04-01 21:52:00,40.7179,-74.0073,0,0,0,1,0,0
235250,2014-04-04 23:20:00,40.6814,-73.9787,0,0,1,0,0,0
285798,2014-04-19 20:25:00,40.7731,-73.9521,0,0,1,0,0,0
553129,2014-04-30 21:28:00,40.7431,-74.0078,0,0,0,1,0,0
47790,2014-04-03 20:04:00,40.7507,-73.9867,0,1,0,0,0,0
6659,2014-04-05 20:53:00,40.7324,-74.008,1,0,0,0,0,0
386437,2014-04-08 09:15:00,40.7745,-73.9634,0,0,0,1,0,0
498156,2014-04-24 16:12:00,40.7279,-74.0054,0,0,0,1,0,0
86362,2014-04-10 22:03:00,40.7269,-73.9799,0,1,0,0,0,0
512522,2014-04-26 00:16:00,40.7289,-73.9848,0,0,0,1,0,0
107133,2014-04-15 07:35:00,40.7622,-73.9325,0,1,0,0,0,0
391688,2014-04-09 05:48:00,40.7371,-74.0004,0,0,0,1,0,0
35142,2014-04-30 20:03:00,40.7285,-73.9953,1,0,0,0,0,0
364773,2014-04-05 16:04:00,40.68,-73.9409,0,0,0,1,0,0
529964,2014-04-28 14:49:00,40.7187,-73.9532,0,0,0,1,0,0
353666,2014-04-04 14:15:00,40.7079,-74.0068,0,0,0,1,0,0
21615,2014-04-19 10:58:00,40.7495,-73.9774,1,0,0,0,0,0
10634,2014-04-09 13:27:00,40.779,-73.9544,1,0,0,0,0,0
88477,2014-04-11 12:12:00,40.8653,-73.9309,0,1,0,0,0,0
170351,2014-04-25 15:52:00,40.7625,-73.9703,0,1,0,0,0,0
505435,2014-04-25 12:16:00,40.7524,-74.0071,0,0,0,1,0,0
100822,2014-04-13 13:52:00,40.7868,-73.9503,0,1,0,0,0,0
456437,2014-04-17 22:50:00,40.7307,-73.6839,0,0,0,1,0,-1
15496,2014-04-13 15:05:00,40.6245,-74.0283,1,0,0,0,0,0
382799,2014-04-07 19:37:00,40.739,-73.9898,0,0,0,1,0,0
20780,2014-04-18 12:03:00,40.756,-73.9736,1,0,0,0,0,0
375425,2014-04-06 20:56:00,40.777,-73.8176,0,0,0,1,0,-1
529636,2014-04-28 13:30:00,40.7346,-73.9778,0,0,0,1,0,0
180264,2014-04-26 16:36:00,40.7319,-74.0008,0,1,0,0,0,0
556432,2014-04-05 20:17:00,40.7552,-73.9731,0,0,0,0,1,0
134705,2014-04-19 17:50:00,40.7859,-73.9764,0,1,0,0,0,0
278339,2014-04-17 16:10:00,40.7304,-73.9806,0,0,1,0,0,0
432170,2014-04-14 20:23:00,40.717,-73.9987,0,0,0,1,0,0
514936,2014-04-26 11:42:00,40.729,-73.9981,0,0,0,1,0,0
238609,2014-04-05 22:31:00,40.6921,-73.9863,0,0,1,0,0,0
84880,2014-04-10 18:36:00,40.7566,-73.9879,0,1,0,0,0,0
90831,2014-04-11 18:41:00,40.7717,-73.9636,0,1,0,0,0,0
64292,2014-04-06 15:33:00,40.6458,-73.7768,0,1,0,0,0,1
183483,2014-04-26 21:13:00,40.7321,-73.9575,0,1,0,0,0,0
220087,2014-04-01 13:31:00,40.7047,-73.9348,0,0,1,0,0,0
506,2014-04-01 15:09:00,40.7355,-73.9755,1,0,0,0,0,0
489979,2014-04-23 16:02:00,40.753,-73.9856,0,0,0,1,0,0
350497,2014-04-04 06:31:00,40.7805,-73.9558,0,0,0,1,0,0
158045,2014-04-23 22:23:00,40.7505,-73.9831,0,1,0,0,0,0
66299,2014-04-07 06:56:00,40.736,-74.0093,0,1,0,0,0,0
233161,2014-04-04 17:55:00,40.7582,-73.9731,0,0,1,0,0,0
502562,2014-04-24 22:49:00,40.7212,-74.0331,0,0,0,1,0,0
539660,2014-04-29 20:07:00,40.737,-73.9968,0,0,0,1,0,0
295247,2014-04-23 14:14:00,40.7741,-73.9636,0,0,1,0,0,0
12176,2014-04-10 17:36:00,40.7564,-73.9898,1,0,0,0,0,0
522546,2014-04-27 01:40:00,40.7265,-73.9919,0,0,0,1,0,0
44422,2014-04-03 07:32:00,40.6466,-73.7899,0,1,0,0,0,1
69559,2014-04-07 18:42:00,40.7386,-73.9832,0,1,0,0,0,0
101747,2014-04-13 17:38:00,40.8677,-73.8934,0,1,0,0,0,0
275593,2014-04-16 19:33:00,40.7725,-73.9651,0,0,1,0,0,0
148797,2014-04-22 17:22:00,40.7564,-73.9815,0,1,0,0,0,0
66738,2014-04-07 08:28:00,40.709,-73.9413,0,1,0,0,0,0
227063,2014-04-03 13:27:00,40.7367,-73.9913,0,0,1,0,0,0
296331,2014-04-23 18:21:00,40.7498,-74.0052,0,0,1,0,0,0
471945,2014-04-20 14:04:00,40.7661,-73.9674,0,0,0,1,0,0
108706,2014-04-15 14:10:00,40.7303,-73.9966,0,1,0,0,0,0
491832,2014-04-23 19:07:00,40.7559,-73.9864,0,0,0,1,0,0
433493,2014-04-15 06:58:00,40.6486,-73.7832,0,0,0,1,0,1
149830,2014-04-22 19:25:00,40.7653,-73.9717,0,1,0,0,0,0
384081,2014-04-07 21:53:00,40.7551,-73.9839,0,0,0,1,0,0
209156,2014-04-30 12:23:00,40.7646,-73.9661,0,1,0,0,0,0
454273,2014-04-17 19:04:00,40.7344,-73.956,0,0,0,1,0,0
132495,2014-04-19 07:20:00,40.7182,-73.9583,0,1,0,0,0,0
334315,2014-04-02 08:06:00,40.745,-74.0061,0,0,0,1,0,0
20822,2014-04-18 13:00:00,40.7612,-73.9866,1,0,0,0,0,0
144733,2014-04-21 21:34:00,40.7557,-73.9841,0,1,0,0,0,0
409127,2014-04-11 11:24:00,40.7607,-73.9696,0,0,0,1,0,0
266777,2014-04-14 07:54:00,40.7272,-73.9842,0,0,1,0,0,0
244131,2014-04-07 17:24:00,40.7238,-74.0069,0,0,1,0,0,0
541007,2014-04-29 22:33:00,40.7573,-73.9822,0,0,0,1,0,0
496506,2014-04-24 12:06:00,40.6928,-73.9631,0,0,0,1,0,0
490105,2014-04-23 16:14:00,40.7136,-74.0085,0,0,0,1,0,0
371581,2014-04-06 03:35:00,40.7182,-74.0033,0,0,0,1,0,0
64150,2014-04-06 14:54:00,40.7646,-73.9321,0,1,0,0,0,0
34289,2014-04-30 15:05:00,40.754,-73.99,1,0,0,0,0,0
457217,2014-04-18 03:54:00,40.7795,-73.9777,0,0,0,1,0,0
292845,2014-04-22 17:54:00,40.7225,-73.9942,0,0,1,0,0,0
84543,2014-04-10 17:56:00,40.7608,-73.9609,0,1,0,0,0,0
463367,2014-04-18 22:18:00,40.7334,-73.9919,0,0,0,1,0,0
117739,2014-04-16 20:49:00,40.6457,-73.7768,0,1,0,0,0,1
42034,2014-04-02 17:12:00,40.7332,-73.9928,0,1,0,0,0,0
439330,2014-04-15 20:04:00,40.7522,-73.9731,0,0,0,1,0,0
334568,2014-04-02 08:42:00,40.7219,-73.9429,0,0,0,1,0,0
94165,2014-04-12 11:12:00,40.7811,-73.9453,0,1,0,0,0,0
22948,2014-04-21 04:53:00,40.7611,-73.9994,1,0,0,0,0,0
204943,2014-04-29 22:15:00,40.7172,-73.9552,0,1,0,0,0,0
554746,2014-04-01 14:10:00,40.7071,-74.01,0,0,0,0,1,0
300897,2014-04-24 19:58:00,40.7584,-73.9815,0,0,1,0,0,0
440236,2014-04-15 21:18:00,40.7685,-73.9824,0,0,0,1,0,0
485551,2014-04-22 21:08:00,40.7268,-73.9945,0,0,0,1,0,0
77367,2014-04-09 11:38:00,40.769,-73.9822,0,1,0,0,0,0
316689,2014-04-29 08:13:00,40.7402,-74.0058,0,0,1,0,0,0
205993,2014-04-30 06:20:00,40.7569,-73.9721,0,1,0,0,0,0
560040,2014-04-17 19:13:00,40.746,-73.9863,0,0,0,0,1,0
397686,2014-04-09 21:31:00,40.7308,-73.9594,0,0,0,1,0,0
220398,2014-04-01 15:25:00,40.7557,-73.9834,0,0,1,0,0,0
448605,2014-04-17 00:43:00,40.7396,-74.0019,0,0,0,1,0,0
308831,2014-04-26 17:51:00,40.7291,-73.9871,0,0,1,0,0,0
525682,2014-04-27 17:28:00,40.6673,-73.9618,0,0,0,1,0,0
396242,2014-04-09 18:26:00,40.7557,-73.9749,0,0,0,1,0,0
228889,2014-04-03 20:15:00,40.7164,-74.0109,0,0,1,0,0,0
89924,2014-04-11 16:49:00,40.7511,-74.0064,0,1,0,0,0,0
465893,2014-04-19 12:40:00,40.724,-74.0007,0,0,0,1,0,0
124573,2014-04-17 21:22:00,40.7197,-74.0102,0,1,0,0,0,0
344467,2014-04-03 15:53:00,40.7192,-74.0022,0,0,0,1,0,0
267644,2014-04-14 15:18:00,40.7651,-73.9759,0,0,1,0,0,0
359179,2014-04-04 20:55:00,40.7514,-73.994,0,0,0,1,0,0
419250,2014-04-12 18:06:00,40.7471,-74.0028,0,0,0,1,0,0
247078,2014-04-08 11:39:00,40.7293,-73.8716,0,0,1,0,0,0
449775,2014-04-17 08:02:00,40.7492,-73.9922,0,0,0,1,0,0
251542,2014-04-09 17:55:00,40.7589,-73.9742,0,0,1,0,0,0
21303,2014-04-18 21:07:00,40.6755,-73.939,1,0,0,0,0,0
504747,2014-04-25 09:40:00,40.7392,-73.9935,0,0,0,1,0,0
204831,2014-04-29 21:55:00,40.7383,-74.0057,0,1,0,0,0,0
526858,2014-04-27 22:03:00,40.694,-73.9835,0,0,0,1,0,0
324188,2014-04-30 17:45:00,40.6933,-73.9838,0,0,1,0,0,0
467114,2014-04-19 16:46:00,40.7628,-73.9741,0,0,0,1,0,0
526553,2014-04-27 20:48:00,40.6449,-73.7822,0,0,0,1,0,1
426301,2014-04-13 17:37:00,40.7562,-73.9832,0,0,0,1,0,0
322317,2014-04-30 13:07:00,40.7538,-73.9863,0,0,1,0,0,0
369378,2014-04-05 23:00:00,40.7294,-74.0023,0,0,0,1,0,0
27555,2014-04-25 11:48:00,40.7508,-73.9714,1,0,0,0,0,0
236835,2014-04-05 16:12:00,40.7746,-73.9641,0,0,1,0,0,0
539066,2014-04-29 19:05:00,40.7863,-73.9686,0,0,0,1,0,0
316062,2014-04-29 00:21:00,40.7756,-73.9627,0,0,1,0,0,0
514271,2014-04-26 08:41:00,40.7645,-73.9734,0,0,0,1,0,0
303663,2014-04-25 14:29:00,40.7347,-73.9936,0,0,1,0,0,0
497724,2014-04-24 15:26:00,40.7748,-73.9632,0,0,0,1,0,0
307588,2014-04-26 11:55:00,40.7883,-73.9547,0,0,1,0,0,0
255511,2014-04-10 19:12:00,40.7898,-73.9782,0,0,1,0,0,0
377940,2014-04-07 10:07:00,40.7386,-73.9939,0,0,0,1,0,0
251727,2014-04-09 18:38:00,40.746,-73.982,0,0,1,0,0,0
242757,2014-04-07 10:01:00,40.755,-73.9943,0,0,1,0,0,0
43669,2014-04-02 22:45:00,40.7335,-73.9992,0,1,0,0,0,0
23063,2014-04-21 08:40:00,40.7573,-73.9823,1,0,0,0,0,0
440443,2014-04-15 21:35:00,40.7607,-73.987,0,0,0,1,0,0
91674,2014-04-11 20:46:00,40.7368,-73.9822,0,1,0,0,0,0
14644,2014-04-12 19:02:00,40.6908,-74.1781,1,0,0,0,0,2
470791,2014-04-20 08:25:00,40.6845,-73.9396,0,0,0,1,0,0
390181,2014-04-08 20:20:00,40.7588,-73.974,0,0,0,1,0,0
118449,2014-04-16 22:46:00,40.7583,-73.9774,0,1,0,0,0,0
135508,2014-04-19 20:07:00,40.7747,-73.9624,0,1,0,0,0,0
539858,2014-04-29 20:28:00,40.7587,-73.9861,0,0,0,1,0,0
40678,2014-04-02 11:27:00,40.7575,-73.9781,0,1,0,0,0,0
543538,2014-04-30 09:23:00,40.8016,-73.9331,0,0,0,1,0,0
314390,2014-04-28 12:07:00,40.6447,-73.7827,0,0,1,0,0,1
48428,2014-04-03 21:34:00,40.7514,-73.994,0,1,0,0,0,0
476064,2014-04-21 10:10:00,40.7872,-73.978,0,0,0,1,0,0
444709,2014-04-16 15:36:00,40.7475,-74.0042,0,0,0,1,0,0
13823,2014-04-11 22:02:00,40.69,-73.9682,1,0,0,0,0,0
192224,2014-04-28 08:28:00,40.7708,-73.963,0,1,0,0,0,0
141426,2014-04-21 08:17:00,40.7888,-73.981,0,1,0,0,0,0
263913,2014-04-12 23:41:00,40.7328,-73.9982,0,0,1,0,0,0
194319,2014-04-28 16:19:00,40.7917,-73.9648,0,1,0,0,0,0
504307,2014-04-25 08:19:00,40.7716,-73.9904,0,0,0,1,0,0
87108,2014-04-11 05:54:00,40.707,-74.0131,0,1,0,0,0,0
266960,2014-04-14 09:07:00,40.7402,-73.9926,0,0,1,0,0,0
151483,2014-04-23 06:09:00,40.7312,-74.0092,0,1,0,0,0,0
327685,2014-04-01 07:28:00,40.7627,-73.9577,0,0,0,1,0,0
225352,2014-04-02 21:01:00,40.7598,-73.9897,0,0,1,0,0,0
454017,2014-04-17 18:39:00,40.771,-73.8656,0,0,0,1,0,0
473401,2014-04-20 19:22:00,40.7408,-73.982,0,0,0,1,0,0
534317,2014-04-29 08:31:00,40.7236,-73.9778,0,0,0,1,0,0
178502,2014-04-26 12:10:00,40.698,-73.9748,0,1,0,0,0,0
47281,2014-04-03 18:42:00,40.7604,-73.958,0,1,0,0,0,0
144480,2014-04-21 20:32:00,40.6792,-73.9835,0,1,0,0,0,0
129877,2014-04-18 19:17:00,40.7109,-74.0059,0,1,0,0,0,0
74975,2014-04-08 19:54:00,40.7691,-73.9828,0,1,0,0,0,0
379371,2014-04-07 15:33:00,40.8114,-73.9539,0,0,0,1,0,0
297547,2014-04-23 23:12:00,40.759,-73.9732,0,0,1,0,0,0
465973,2014-04-19 12:58:00,40.6465,-73.7899,0,0,0,1,0,1
359506,2014-04-04 21:23:00,40.761,-73.9864,0,0,0,1,0,0
469419,2014-04-19 22:43:00,40.7452,-73.9948,0,0,0,1,0,0
286980,2014-04-20 11:08:00,40.7305,-73.9936,0,0,1,0,0,0
368608,2014-04-05 22:02:00,40.7498,-74.0051,0,0,0,1,0,0
546461,2014-04-30 14:46:00,40.7418,-74.0048,0,0,0,1,0,0
201992,2014-04-29 17:38:00,40.7485,-73.9394,0,1,0,0,0,0
457066,2014-04-18 01:45:00,40.7421,-73.9987,0,0,0,1,0,0
526890,2014-04-27 22:12:00,40.7675,-73.8894,0,0,0,1,0,0
492974,2014-04-23 21:02:00,40.7176,-73.9905,0,0,0,1,0,0
502664,2014-04-24 23:03:00,40.7028,-73.9812,0,0,0,1,0,0
316787,2014-04-29 08:40:00,40.7689,-73.8625,0,0,1,0,0,0
224603,2014-04-02 17:58:00,40.755,-73.9833,0,0,1,0,0,0
90289,2014-04-11 17:35:00,40.7325,-73.99,0,1,0,0,0,0
481455,2014-04-22 11:04:00,40.6725,-73.953,0,0,0,1,0,0
249422,2014-04-09 06:09:00,40.7346,-74.0096,0,0,1,0,0,0
38081,2014-04-01 17:59:00,40.7397,-73.9963,0,1,0,0,0,0
380342,2014-04-07 16:59:00,40.7537,-73.9723,0,0,0,1,0,0
267959,2014-04-14 16:53:00,40.6744,-73.9664,0,0,1,0,0,0
154382,2014-04-23 15:47:00,40.7503,-73.9911,0,1,0,0,0,0
108244,2014-04-15 12:16:00,40.7768,-73.9551,0,1,0,0,0,0
335083,2014-04-02 10:34:00,40.7533,-73.9697,0,0,0,1,0,0
97073,2014-04-12 20:05:00,40.6527,-74.0032,0,1,0,0,0,0
64526,2014-04-06 16:31:00,40.5783,-73.9567,0,1,0,0,0,-1
31420,2014-04-28 15:40:00,40.7447,-73.9832,1,0,0,0,0,0
121555,2014-04-17 15:44:00,40.7667,-73.9594,0,1,0,0,0,0
434734,2014-04-15 10:40:00,40.7996,-73.9537,0,0,0,1,0,0
152514,2014-04-23 09:19:00,40.7313,-73.9742,0,1,0,0,0,0
58217,2014-04-05 15:15:00,40.7337,-74.01,0,1,0,0,0,0
27024,2014-04-24 21:32:00,40.7057,-74.0043,1,0,0,0,0,0
122672,2014-04-17 17:58:00,40.7595,-73.9621,0,1,0,0,0,0
460091,2014-04-18 15:38:00,40.7324,-73.9963,0,0,0,1,0,0
396791,2014-04-09 19:29:00,40.7599,-73.9901,0,0,0,1,0,0
136707,2014-04-19 23:33:00,40.7668,-73.9828,0,1,0,0,0,0
349866,2014-04-04 01:44:00,40.7221,-73.9971,0,0,0,1,0,0
312357,2014-04-27 16:03:00,40.7652,-73.9794,0,0,1,0,0,0
58479,2014-04-05 16:04:00,40.7655,-73.9753,0,1,0,0,0,0
407904,2014-04-11 07:30:00,40.743,-73.9795,0,0,0,1,0,0
515865,2014-04-26 14:53:00,40.7843,-73.9546,0,0,0,1,0,0
25702,2014-04-23 21:20:00,40.7198,-73.9878,1,0,0,0,0,0
476015,2014-04-21 09:56:00,40.7174,-73.8235,0,0,0,1,0,0
299650,2014-04-24 16:02:00,40.8995,-73.9011,0,0,1,0,0,0
