,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,scale_clarity,scale_color,validate_z
37,38,0.31,Good,H,SI1,64.0,54.0,402.0,4.29,4.31,2.75,2,2,False
38,39,0.26,Very Good,D,VS2,60.8,59.0,403.0,4.13,4.16,2.52,3,6,False
39,40,0.33,Ideal,I,SI2,61.8,55.0,403.0,4.49,4.51,2.78,1,1,False
40,41,0.33,Ideal,I,SI2,61.2,56.0,403.0,4.49,4.5,2.75,1,1,False
41,42,0.33,Ideal,J,SI1,61.1,56.0,403.0,4.49,4.55,2.76,2,0,False
42,43,0.26,Good,D,VS2,65.2,56.0,403.0,3.99,4.02,2.61,3,6,False
43,44,0.26,Good,D,VS1,58.4,63.0,403.0,4.19,4.24,2.46,4,6,False
44,45,0.32,Good,H,SI2,63.1,56.0,403.0,4.34,4.37,2.75,1,2,False
45,46,0.29,Premium,F,SI1,62.4,58.0,403.0,4.24,4.26,2.65,2,4,False
46,47,0.32,Very Good,H,SI2,61.8,55.0,403.0,4.35,4.42,2.71,1,2,False
47,48,0.32,Good,H,SI2,63.8,56.0,403.0,4.36,4.38,2.79,1,2,False
48,49,0.25,Very Good,E,VS2,63.3,60.0,404.0,4.0,4.03,2.54,3,5,False
49,50,0.29,Very Good,H,SI2,60.7,60.0,404.0,4.33,4.37,2.64,1,2,False
50,51,0.24,Very Good,F,SI1,60.9,61.0,404.0,4.02,4.03,2.45,2,4,False
51,52,0.23,Ideal,G,VS1,61.9,54.0,404.0,3.93,3.95,2.44,4,3,False
52,53,0.32,Ideal,I,SI1,60.9,55.0,404.0,4.45,4.48,2.72,2,1,False
53,54,0.22,Premium,E,VS2,61.6,58.0,404.0,3.93,3.89,2.41,3,5,False
54,55,0.22,Premium,D,VS2,59.3,62.0,404.0,3.91,3.88,2.31,3,6,False
55,56,0.3,Ideal,I,SI2,61.0,59.0,405.0,4.3,4.33,2.63,1,1,False
56,57,0.3,Premium,J,SI2,59.3,61.0,405.0,4.43,4.38,2.61,1,0,False
57,58,0.3,Very Good,I,SI1,62.6,57.0,405.0,4.25,4.28,2.67,2,1,False
58,59,0.3,Very Good,I,SI1,63.0,57.0,405.0,4.28,4.32,2.71,2,1,False
59,60,0.3,Good,I,SI1,63.2,55.0,405.0,4.25,4.29,2.7,2,1,False
60,61,0.35,Ideal,I,VS1,60.9,57.0,552.0,4.54,4.59,2.78,4,1,False
61,62,0.3,Premium,D,SI1,62.6,59.0,552.0,4.23,4.27,2.66,2,6,False
62,63,0.3,Ideal,D,SI1,62.5,57.0,552.0,4.29,4.32,2.69,2,6,False
63,64,0.3,Ideal,D,SI1,62.1,56.0,552.0,4.3,4.33,2.68,2,6,False
64,65,0.42,Premium,I,SI2,61.5,59.0,552.0,4.78,4.84,2.96,1,1,False
65,66,0.28,Ideal,G,VVS2,61.4,56.0,553.0,4.19,4.22,2.58,5,3,False
66,67,0.32,Ideal,I,VVS1,62.0,55.3,553.0,4.39,4.42,2.73,6,1,False
67,68,0.31,Very Good,G,SI1,63.3,57.0,553.0,4.33,4.3,2.73,2,3,False
68,69,0.31,Premium,G,SI1,61.8,58.0,553.0,4.35,4.32,2.68,2,3,False
69,70,0.24,Premium,E,VVS1,60.7,58.0,553.0,4.01,4.03,2.44,6,5,False
70,71,0.24,Very Good,D,VVS1,61.5,60.0,553.0,3.97,4.0,2.45,6,6,False
71,72,0.3,Very Good,H,SI1,63.1,56.0,554.0,4.29,4.27,2.7,2,2,False
72,73,0.3,Premium,H,SI1,62.9,59.0,554.0,4.28,4.24,2.68,2,2,False
73,74,0.3,Premium,H,SI1,62.5,57.0,554.0,4.29,4.25,2.67,2,2,False
74,75,0.3,Good,H,SI1,63.7,57.0,554.0,4.28,4.26,2.72,2,2,False
75,76,0.26,Very Good,F,VVS2,59.2,60.0,554.0,4.19,4.22,2.49,5,4,False
76,77,0.26,Very Good,E,VVS2,59.9,58.0,554.0,4.15,4.23,2.51,5,5,False
77,78,0.26,Very Good,D,VVS2,62.4,54.0,554.0,4.08,4.13,2.56,5,6,False
78,79,0.26,Very Good,D,VVS2,62.8,60.0,554.0,4.01,4.05,2.53,5,6,False
79,80,0.26,Very Good,E,VVS1,62.6,59.0,554.0,4.06,4.09,2.55,6,5,False
80,81,0.26,Very Good,E,VVS1,63.4,59.0,554.0,4.0,4.04,2.55,6,5,False
81,82,0.26,Very Good,D,VVS1,62.1,60.0,554.0,4.03,4.12,2.53,6,6,False
82,83,0.26,Ideal,E,VVS2,62.9,58.0,554.0,4.02,4.06,2.54,5,5,False
83,84,0.38,Ideal,I,SI2,61.6,56.0,554.0,4.65,4.67,2.87,1,1,False
84,85,0.26,Good,E,VVS1,57.9,60.0,554.0,4.22,4.25,2.45,6,5,False
85,86,0.24,Premium,G,VVS1,62.3,59.0,554.0,3.95,3.92,2.45,6,3,False
86,87,0.24,Premium,H,VVS1,61.2,58.0,554.0,4.01,3.96,2.44,6,2,False
87,88,0.24,Premium,H,VVS1,60.8,59.0,554.0,4.02,4.0,2.44,6,2,False
88,89,0.24,Premium,H,VVS2,60.7,58.0,554.0,4.07,4.04,2.46,5,2,False
89,90,0.32,Premium,I,SI1,62.9,58.0,554.0,4.35,4.33,2.73,2,1,False
90,91,0.7,Ideal,E,SI1,62.5,57.0,2757.0,5.7,5.72,3.57,2,5,False
91,92,0.86,Fair,E,SI2,55.1,69.0,2757.0,6.45,6.33,3.52,1,5,False
92,93,0.7,Ideal,G,VS2,61.6,56.0,2757.0,5.7,5.67,3.5,3,3,False
93,94,0.71,Very Good,E,VS2,62.4,57.0,2759.0,5.68,5.73,3.56,3,5,False
94,95,0.78,Very Good,G,SI2,63.8,56.0,2759.0,5.81,5.85,3.72,1,3,False
95,96,0.7,Good,E,VS2,57.5,58.0,2759.0,5.85,5.9,3.38,3,5,False
96,97,0.7,Good,F,VS1,59.4,62.0,2759.0,5.71,5.76,3.4,4,4,False
97,98,0.96,Fair,F,SI2,66.3,62.0,2759.0,6.27,5.95,4.07,1,4,False
98,99,0.73,Very Good,E,SI1,61.6,59.0,2760.0,5.77,5.78,3.56,2,5,False
99,100,0.8,Premium,H,SI1,61.5,58.0,2760.0,5.97,5.93,3.66,2,2,False
100,101,0.75,Very Good,D,SI1,63.2,56.0,2760.0,5.8,5.75,3.65,2,6,False
101,102,0.75,Premium,E,SI1,59.9,54.0,2760.0,6.0,5.96,3.58,2,5,False
102,103,0.74,Ideal,G,SI1,61.6,55.0,2760.0,5.8,5.85,3.59,2,3,False
103,104,0.75,Premium,G,VS2,61.7,58.0,2760.0,5.85,5.79,3.59,3,3,False
104,105,0.8,Ideal,I,VS1,62.9,56.0,2760.0,5.94,5.87,3.72,4,1,False
105,106,0.75,Ideal,G,SI1,62.2,55.0,2760.0,5.87,5.8,3.63,2,3,False
106,107,0.8,Premium,G,SI1,63.0,59.0,2760.0,5.9,5.81,3.69,2,3,False
107,108,0.74,Ideal,I,VVS2,62.3,55.0,2761.0,5.77,5.81,3.61,5,1,False
108,109,0.81,Ideal,F,SI2,58.8,57.0,2761.0,6.14,6.11,3.6,1,4,False
109,110,0.59,Ideal,E,VVS2,62.0,55.0,2761.0,5.38,5.43,3.35,5,5,False
110,111,0.8,Ideal,F,SI2,61.4,57.0,2761.0,5.96,6.0,3.67,1,4,False
111,112,0.74,Ideal,E,SI2,62.2,56.0,2761.0,5.8,5.84,3.62,1,5,False
112,113,0.9,Premium,I,VS2,63.0,58.0,2761.0,6.16,6.12,3.87,3,1,False
113,114,0.74,Very Good,G,SI1,62.2,59.0,2762.0,5.73,5.82,3.59,2,3,False
114,115,0.73,Ideal,F,VS2,62.6,56.0,2762.0,5.77,5.74,3.6,3,4,False
115,116,0.73,Ideal,F,VS2,62.7,53.0,2762.0,5.8,5.75,3.62,3,4,False
116,117,0.8,Premium,F,SI2,61.7,58.0,2762.0,5.98,5.94,3.68,1,4,False
117,118,0.71,Ideal,G,VS2,62.4,54.0,2762.0,5.72,5.76,3.58,3,3,False
118,119,0.7,Ideal,E,VS2,60.7,58.0,2762.0,5.73,5.76,3.49,3,5,False
119,120,0.8,Ideal,F,SI2,59.9,59.0,2762.0,6.01,6.07,3.62,1,4,False
120,121,0.71,Ideal,D,SI2,62.3,56.0,2762.0,5.73,5.69,3.56,1,6,False
121,122,0.74,Ideal,E,SI1,62.3,54.0,2762.0,5.8,5.83,3.62,2,5,False
122,123,0.7,Very Good,F,VS2,61.7,63.0,2762.0,5.64,5.61,3.47,3,4,False
123,124,0.7,Fair,F,VS2,64.5,57.0,2762.0,5.57,5.53,3.58,3,4,False
124,125,0.7,Fair,F,VS2,65.3,55.0,2762.0,5.63,5.58,3.66,3,4,False
125,126,0.7,Premium,F,VS2,61.6,60.0,2762.0,5.65,5.59,3.46,3,4,False
126,127,0.91,Premium,H,SI1,61.4,56.0,2763.0,6.09,5.97,3.7,2,2,False
127,128,0.61,Very Good,D,VVS2,59.6,57.0,2763.0,5.56,5.58,3.32,5,6,False
128,129,0.91,Fair,H,SI2,64.4,57.0,2763.0,6.11,6.09,3.93,1,2,False
129,130,0.91,Fair,H,SI2,65.7,60.0,2763.0,6.03,5.99,3.95,1,2,False
130,131,0.77,Ideal,H,VS2,62.0,56.0,2763.0,5.89,5.86,3.64,3,2,False
131,132,0.71,Very Good,D,SI1,63.6,58.0,2764.0,5.64,5.68,3.6,2,6,False
132,133,0.71,Ideal,D,SI1,61.9,59.0,2764.0,5.69,5.72,3.53,2,6,False
133,134,0.7,Very Good,E,VS2,62.6,60.0,2765.0,5.62,5.65,3.53,3,5,False
134,135,0.77,Very Good,H,VS1,61.3,60.0,2765.0,5.88,5.9,3.61,4,2,False
135,136,0.63,Premium,E,VVS1,60.9,60.0,2765.0,5.52,5.55,3.37,6,5,False
136,137,0.71,Very Good,F,VS1,60.1,62.0,2765.0,5.74,5.77,3.46,4,4,False
137,138,0.71,Premium,F,VS1,61.8,59.0,2765.0,5.69,5.73,3.53,4,4,False
138,139,0.76,Ideal,H,SI1,61.2,57.0,2765.0,5.88,5.91,3.61,2,2,False
139,140,0.64,Ideal,G,VVS1,61.9,56.0,2766.0,5.53,5.56,3.43,6,3,False
140,141,0.71,Premium,G,VS2,60.9,57.0,2766.0,5.78,5.75,3.51,3,3,False
141,142,0.71,Premium,G,VS2,59.8,56.0,2766.0,5.89,5.81,3.5,3,3,False
142,143,0.7,Very Good,D,VS2,61.8,55.0,2767.0,5.68,5.72,3.52,3,6,False
143,144,0.7,Very Good,F,VS1,60.0,57.0,2767.0,5.8,5.87,3.5,4,4,False
144,145,0.71,Ideal,D,SI2,61.6,55.0,2767.0,5.74,5.76,3.54,1,6,False
145,146,0.7,Good,H,VVS2,62.1,64.0,2767.0,5.62,5.65,3.5,5,2,False
146,147,0.71,Very Good,G,VS1,63.3,59.0,2768.0,5.52,5.61,3.52,4,3,False
147,148,0.73,Very Good,D,SI1,60.2,56.0,2768.0,5.83,5.87,3.52,2,6,False
148,149,0.7,Very Good,D,SI1,61.1,58.0,2768.0,5.66,5.73,3.48,2,6,False
149,150,0.7,Ideal,E,SI1,60.9,57.0,2768.0,5.73,5.76,3.5,2,5,False
150,151,0.71,Premium,D,SI2,61.7,59.0,2768.0,5.71,5.67,3.51,1,6,False
151,152,0.74,Ideal,I,SI1,61.3,56.0,2769.0,5.82,5.86,3.57,2,1,False
152,153,0.71,Premium,D,VS2,62.5,60.0,2770.0,5.65,5.61,3.52,3,6,False
153,154,0.73,Premium,G,VS2,61.4,59.0,2770.0,5.83,5.76,3.56,3,3,False
154,155,0.76,Very Good,F,SI1,62.9,57.0,2770.0,5.79,5.81,3.65,2,4,False
155,156,0.76,Ideal,D,SI2,62.4,57.0,2770.0,5.78,5.83,3.62,1,6,False
156,157,0.71,Ideal,F,SI1,60.7,56.0,2770.0,5.77,5.8,3.51,2,4,False
157,158,0.73,Premium,G,VS2,60.7,58.0,2770.0,5.87,5.82,3.55,3,3,False
158,159,0.73,Premium,G,VS1,61.5,58.0,2770.0,5.79,5.75,3.55,4,3,False
159,160,0.73,Ideal,D,SI2,59.9,57.0,2770.0,5.92,5.89,3.54,1,6,False
160,161,0.73,Premium,G,VS2,59.2,59.0,2770.0,5.92,5.87,3.49,3,3,False
161,162,0.72,Very Good,H,VVS2,60.3,56.0,2771.0,5.81,5.83,3.51,5,2,False
162,163,0.73,Very Good,F,SI1,61.7,60.0,2771.0,5.79,5.82,3.58,2,4,False
163,164,0.71,Ideal,G,VS2,61.9,57.0,2771.0,5.73,5.77,3.56,3,3,False
164,165,0.79,Ideal,F,SI2,61.9,55.0,2771.0,5.97,5.92,3.68,1,4,False
165,166,0.73,Very Good,H,VVS1,60.4,59.0,2772.0,5.83,5.89,3.54,6,2,False
166,167,0.8,Very Good,F,SI2,61.0,57.0,2772.0,6.01,6.03,3.67,1,4,False
167,168,0.58,Ideal,G,VVS1,61.5,55.0,2772.0,5.39,5.44,3.33,6,3,False
168,169,0.58,Ideal,F,VVS1,61.7,56.0,2772.0,5.33,5.37,3.3,6,4,False
169,170,0.71,Good,E,VS2,59.2,61.0,2772.0,5.8,5.88,3.46,3,5,False
170,171,0.75,Ideal,D,SI2,61.3,56.0,2773.0,5.85,5.89,3.6,1,6,False
171,172,0.7,Premium,D,VS2,58.0,62.0,2773.0,5.87,5.78,3.38,3,6,False
172,173,1.17,Very Good,J,I1,60.2,61.0,2774.0,6.83,6.9,4.13,0,0,False
173,174,0.6,Ideal,E,VS1,61.7,55.0,2774.0,5.41,5.44,3.35,4,5,False
174,175,0.7,Ideal,E,SI1,62.7,55.0,2774.0,5.68,5.74,3.58,2,5,False
175,176,0.83,Good,I,VS2,64.6,54.0,2774.0,5.85,5.88,3.79,3,1,False
176,177,0.74,Very Good,F,VS2,61.3,61.0,2775.0,5.8,5.84,3.57,3,4,False
177,178,0.72,Very Good,G,VS2,63.7,56.4,2776.0,5.62,5.69,3.61,3,3,False
178,179,0.71,Premium,E,VS2,62.7,58.0,2776.0,5.74,5.68,3.58,3,5,False
179,180,0.71,Ideal,E,VS2,62.2,57.0,2776.0,5.79,5.62,3.55,3,5,False
180,181,0.54,Ideal,E,VVS2,61.6,56.0,2776.0,5.25,5.27,3.24,5,5,False
181,182,0.54,Ideal,E,VVS2,61.5,57.0,2776.0,5.24,5.26,3.23,5,5,False
182,183,0.72,Ideal,G,SI1,61.8,56.0,2776.0,5.72,5.75,3.55,2,3,False
183,184,0.72,Ideal,G,SI1,60.7,56.0,2776.0,5.79,5.82,3.53,2,3,False
184,185,0.72,Good,G,VS2,59.7,60.5,2776.0,5.8,5.84,3.47,3,3,False
185,186,0.71,Ideal,G,SI1,60.5,56.0,2776.0,5.8,5.76,3.5,2,3,False
186,187,0.7,Very Good,D,VS1,62.7,58.0,2777.0,5.66,5.73,3.57,4,6,False
187,188,0.71,Premium,F,VS2,62.1,58.0,2777.0,5.67,5.7,3.53,3,4,False
188,189,0.71,Very Good,F,VS2,62.8,57.0,2777.0,5.64,5.69,3.56,3,4,False
189,190,0.71,Good,F,VS2,63.8,58.0,2777.0,5.61,5.64,3.59,3,4,False
190,191,0.71,Good,F,VS2,57.8,60.0,2777.0,5.87,5.9,3.4,3,4,False
191,192,0.7,Ideal,E,VS2,62.1,55.0,2777.0,5.7,5.67,3.53,3,5,False
192,193,0.7,Premium,E,VS2,61.1,60.0,2777.0,5.71,5.64,3.47,3,5,False
193,194,0.7,Premium,E,SI1,60.0,59.0,2777.0,5.79,5.75,3.46,2,5,False
194,195,0.7,Premium,E,SI1,61.2,57.0,2777.0,5.73,5.68,3.49,2,5,False
195,196,0.7,Premium,E,SI1,62.7,59.0,2777.0,5.67,5.63,3.54,2,5,False
196,197,0.7,Premium,E,SI1,61.0,57.0,2777.0,5.73,5.68,3.48,2,5,False
197,198,0.7,Premium,E,SI1,61.0,58.0,2777.0,5.78,5.72,3.51,2,5,False
198,199,0.7,Ideal,E,SI1,61.4,57.0,2777.0,5.76,5.7,3.52,2,5,False
199,200,0.72,Premium,F,SI1,61.8,61.0,2777.0,5.82,5.71,3.56,2,4,False
200,201,0.7,Very Good,E,SI1,59.9,63.0,2777.0,5.76,5.7,3.43,2,5,False
201,202,0.7,Premium,E,SI1,61.3,58.0,2777.0,5.71,5.68,3.49,2,5,False
202,203,0.7,Premium,E,SI1,60.5,58.0,2777.0,5.77,5.74,3.48,2,5,False
203,204,0.7,Good,E,VS2,64.1,59.0,2777.0,5.64,5.59,3.6,3,5,False
204,205,0.98,Fair,H,SI2,67.9,60.0,2777.0,6.05,5.97,4.08,1,2,False
205,206,0.78,Premium,F,SI1,62.4,58.0,2777.0,5.83,5.8,3.63,2,4,False
206,207,0.7,Very Good,E,SI1,63.2,60.0,2777.0,5.6,5.51,3.51,2,5,False
207,208,0.52,Ideal,F,VVS1,61.3,55.0,2778.0,5.19,5.22,3.19,6,4,False
208,209,0.73,Very Good,H,VS2,60.8,56.0,2779.0,5.82,5.84,3.55,3,2,False
209,210,0.74,Ideal,E,SI1,61.7,56.0,2779.0,5.84,5.8,3.59,2,5,False
210,211,0.7,Very Good,F,VS2,63.6,57.0,2780.0,5.61,5.65,3.58,3,4,False
211,212,0.77,Premium,G,VS2,61.2,58.0,2780.0,5.9,5.93,3.62,3,3,False
212,213,0.71,Ideal,F,VS2,62.1,54.0,2780.0,5.68,5.72,3.54,3,4,False
213,214,0.74,Ideal,G,VS1,61.5,55.0,2780.0,5.81,5.86,3.59,4,3,False
214,215,0.7,Ideal,G,VS1,61.4,59.0,2780.0,5.64,5.73,3.49,4,3,False
215,216,1.01,Premium,F,I1,61.8,60.0,2781.0,6.39,6.36,3.94,0,4,False
216,217,0.77,Ideal,H,SI1,62.2,56.0,2781.0,5.83,5.88,3.64,2,2,False
217,218,0.78,Ideal,H,SI1,61.2,56.0,2781.0,5.92,5.99,3.64,2,2,False
218,219,0.72,Very Good,H,VS1,60.6,63.0,2782.0,5.83,5.76,3.51,4,2,False
219,220,0.53,Very Good,D,VVS2,57.5,64.0,2782.0,5.34,5.37,3.08,5,6,False
220,221,0.76,Ideal,G,VS2,61.3,56.0,2782.0,5.9,5.94,3.63,3,3,False
221,222,0.7,Good,E,VS1,57.2,62.0,2782.0,5.81,5.77,3.31,4,5,False
222,223,0.7,Premium,E,VS1,62.9,60.0,2782.0,5.62,5.54,3.51,4,5,False
223,224,0.75,Very Good,D,SI2,63.1,58.0,2782.0,5.78,5.73,3.63,1,6,False
224,225,0.72,Ideal,D,SI1,60.8,57.0,2782.0,5.76,5.75,3.5,2,6,False
225,226,0.72,Premium,D,SI1,62.7,59.0,2782.0,5.73,5.69,3.58,2,6,False
226,227,0.7,Premium,D,SI1,62.8,60.0,2782.0,5.68,5.66,3.56,2,6,False
227,228,0.84,Fair,G,SI1,55.1,67.0,2782.0,6.39,6.2,3.47,2,3,False
228,229,0.75,Premium,F,SI1,61.4,59.0,2782.0,5.88,5.85,3.6,2,4,False
229,230,0.52,Ideal,F,IF,62.2,55.0,2783.0,5.14,5.18,3.21,7,4,False
230,231,0.72,Very Good,F,VS2,63.0,54.0,2784.0,5.69,5.73,3.6,3,4,False
231,232,0.79,Very Good,H,VS1,63.7,56.0,2784.0,5.85,5.92,3.75,4,2,False
232,233,0.72,Very Good,F,VS2,63.6,58.0,2787.0,5.66,5.69,3.61,3,4,False
233,234,0.51,Ideal,F,VVS1,62.0,57.0,2787.0,5.11,5.15,3.18,6,4,False
234,235,0.64,Ideal,D,VS1,61.5,56.0,2787.0,5.54,5.55,3.41,4,6,False
235,236,0.7,Very Good,H,VVS1,60.5,60.0,2788.0,5.74,5.77,3.48,6,2,False
236,237,0.83,Very Good,I,VS1,61.1,60.0,2788.0,6.07,6.1,3.72,4,1,False
237,238,0.76,Ideal,I,VVS2,61.8,56.0,2788.0,5.85,5.87,3.62,5,1,False
238,239,0.71,Good,D,VS2,63.3,56.0,2788.0,5.64,5.68,3.58,3,6,False
239,240,0.77,Good,G,VS1,59.4,64.0,2788.0,5.97,5.92,3.53,4,3,False
240,241,0.71,Ideal,F,SI1,62.5,55.0,2788.0,5.71,5.65,3.55,2,4,True
241,242,1.01,Fair,E,I1,64.5,58.0,2788.0,6.29,6.21,4.03,0,5,False
242,243,1.01,Premium,H,SI2,62.7,59.0,2788.0,6.31,6.22,3.93,1,2,False
243,244,0.77,Good,F,SI1,64.2,52.0,2789.0,5.81,5.77,3.72,2,4,False
244,245,0.76,Good,E,SI1,63.7,54.0,2789.0,5.76,5.85,3.7,2,5,False
245,246,0.76,Premium,E,SI1,60.4,58.0,2789.0,5.92,5.94,3.58,2,5,False
246,247,0.76,Premium,E,SI1,61.8,58.0,2789.0,5.82,5.86,3.61,2,5,False
247,248,1.05,Very Good,J,SI2,63.2,56.0,2789.0,6.49,6.45,4.09,1,0,False
248,249,0.81,Ideal,G,SI2,61.6,56.0,2789.0,5.97,6.01,3.69,1,3,False
249,250,0.7,Ideal,E,SI1,61.6,56.0,2789.0,5.72,5.75,3.53,2,5,False
250,251,0.55,Ideal,G,IF,60.9,57.0,2789.0,5.28,5.3,3.22,7,3,False
251,252,0.81,Good,G,SI2,61.0,61.0,2789.0,5.94,5.99,3.64,1,3,False
252,253,0.63,Premium,E,VVS2,62.1,57.0,2789.0,5.48,5.41,3.38,5,5,False
253,254,0.63,Premium,E,VVS1,60.9,60.0,2789.0,5.55,5.52,3.37,6,5,False
254,255,0.77,Premium,H,VS1,61.3,60.0,2789.0,5.9,5.88,3.61,4,2,False
255,256,1.05,Fair,J,SI2,65.8,59.0,2789.0,6.41,6.27,4.18,1,0,False
256,257,0.64,Ideal,G,IF,61.3,56.0,2790.0,5.54,5.58,3.41,7,3,False
257,258,0.76,Premium,I,VVS1,58.8,59.0,2790.0,6.0,5.94,3.51,6,1,False
258,259,0.83,Ideal,F,SI2,62.3,55.0,2790.0,6.02,6.05,3.76,1,4,False
259,260,0.71,Premium,F,VS1,60.1,62.0,2790.0,5.77,5.74,3.46,4,4,False
260,261,0.71,Premium,F,VS1,61.8,59.0,2790.0,5.73,5.69,3.53,4,4,False
261,262,0.87,Very Good,I,SI1,63.6,55.8,2791.0,6.07,6.1,3.87,2,1,False
262,263,0.73,Ideal,E,SI1,62.2,56.0,2791.0,5.74,5.78,3.58,2,5,False
263,264,0.71,Premium,E,SI1,59.2,59.0,2792.0,5.83,5.86,3.46,2,5,False
264,265,0.71,Premium,E,SI1,61.8,59.0,2792.0,5.7,5.75,3.54,2,5,False
265,266,0.71,Ideal,E,SI1,61.3,55.0,2792.0,5.72,5.77,3.52,2,5,False
266,267,0.7,Premium,F,VS1,62.1,60.0,2792.0,5.71,5.65,3.53,4,4,False
267,268,0.7,Premium,F,VS1,60.7,60.0,2792.0,5.78,5.75,3.5,4,4,False
268,269,0.76,Premium,H,VVS2,59.6,57.0,2792.0,5.91,5.86,3.51,5,2,False
269,270,0.7,Ideal,F,VS1,62.2,56.0,2792.0,5.73,5.68,3.55,4,4,False
270,271,0.79,Very Good,G,SI1,60.6,57.0,2793.0,5.98,6.06,3.65,2,3,False
271,272,0.7,Very Good,E,VS2,62.9,57.0,2793.0,5.66,5.69,3.57,3,5,False
272,273,0.7,Good,E,VS2,64.1,55.0,2793.0,5.6,5.66,3.61,3,5,False
273,274,0.76,Ideal,I,VS2,61.3,56.0,2793.0,5.87,5.91,3.61,3,1,False
274,275,0.73,Ideal,H,VS2,62.7,55.0,2793.0,5.72,5.76,3.6,3,2,False
275,276,0.79,Very Good,E,SI1,63.2,56.0,2794.0,5.91,5.86,3.72,2,5,False
276,277,0.71,Very Good,E,VS2,60.7,56.0,2795.0,5.81,5.82,3.53,3,5,False
277,278,0.81,Premium,I,VVS2,61.9,60.0,2795.0,5.91,5.86,3.64,5,1,False
278,279,0.81,Ideal,F,SI2,62.6,55.0,2795.0,5.92,5.96,3.72,1,4,False
279,280,0.72,Good,F,VS1,60.7,60.0,2795.0,5.74,5.72,3.48,4,4,False
280,281,0.72,Premium,D,SI2,62.0,60.0,2795.0,5.73,5.69,3.54,1,6,False
281,282,0.72,Premium,I,IF,63.0,57.0,2795.0,5.72,5.7,3.6,7,1,False
